LEVEL,PROMPT_ID,PROMPT_TEXT,SKILL_LEVEL,DOMAIN,SOURCE_TYPE,C1_SCORE,C2_SCORE,C3_SCORE (OUTPUT SPEC),C4_SCORE,C5_SCORE,C6_SCORE,FINAL_SCORE,JUSTIFICATION,STRENGTHS,GAPS,CHATGPT_SCORES,GEMINI_SCORES,CLAUDE_SCORES,KAPPA_FLAG,SCORE_SOURCE,STATUS,SOURCE_LOG_ID,DATASET_SPLIT
Weak,PELS-L1-EDU-001,explain math,Weak,EDU,synthetic,1,1,1,1,1,1,1.0,"Extremely vague with no topic, audience, format, or goal specified. Only two words with no usable context.",None. Minimal effort prompt.,"Missing subject, grade level, concept, format, and any constraint.","2,1,1,2,1,1","1,1,2,1,2,2","2,1,2,1,1,1",NO,auto_mean,approved,SL-001,train
Weak,PELS-L1-EDU-002,help with science,Weak,EDU,intern,1,1,1,1,1,1,1.0,Too broad to be actionable. Science covers thousands of fields and levels.,Attempts to name a domain.,"No topic, class level, goal, or format specified.","1,1,1,2,2,1","2,1,2,2,2,2","1,1,1,2,1,1",NO,auto_mean,approved,SL-002,train
Weak,PELS-L1-EDU-003,wat is photosynthsis,Weak,EDU,synthetic,2,1,1,1,1,1,1.15,Has a clear keyword but misspelled and lacks all structural elements.,Names a concept.,"No grade level, length, format, or audience defined.","1,2,1,1,1,1","1,1,1,1,1,1","2,1,2,1,1,2",NO,auto_mean,approved,SL-003,train
Weak,PELS-L1-EDU-004,tell me about history,Weak,EDU,intern,1,1,1,1,1,1,1.0,"History is vast; no period, region, or purpose is given. Entirely unusable as-is.",Domain hint present.,"No period, region, audience, format, or intent.","1,2,1,1,1,2","1,2,2,1,2,1","2,1,1,2,1,1",NO,auto_mean,approved,SL-004,train
Weak,PELS-L1-EDU-005,homework help plz,Weak,EDU,synthetic,1,1,1,1,1,1,1.0,"Reads like a text message with no subject, task, or detail. Cannot generate any useful response.",Urgent tone conveys need.,"No subject, grade, assignment type, or context.","1,1,1,1,1,1","2,1,1,1,1,1","2,1,2,2,2,1",NO,auto_mean,approved,SL-005,train
Weak,PELS-L1-EDU-006,explain newton,Weak,EDU,synthetic,2,1,1,1,1,1,1.15,"Names a person but unclear whether laws, biography, or a specific topic is meant.",References a known figure.,"Ambiguous topic, no grade, no format, no length.","3,2,1,2,2,1","1,1,1,1,2,2","3,1,2,1,1,1",NO,auto_mean,approved,SL-006,train
Weak,PELS-L1-EDU-007,how study?,Weak,EDU,intern,1,1,1,1,1,1,1.0,"Grammatically incomplete. No subject area, goal, or timeframe specified.",Implied intent to study.,"Grammar errors, no subject, no plan scope.","1,1,1,1,1,1","2,2,1,1,2,1","1,2,1,1,1,1",NO,auto_mean,approved,SL-007,train
Weak,PELS-L1-EDU-008,solve this,Weak,EDU,synthetic,1,1,1,1,1,1,1.0,Completely meaningless without attachment or context. Impossible to address.,Shows intent to get a solution.,"No problem, subject, level, or any usable context.","1,2,2,2,1,2","2,1,2,1,1,1","1,2,1,1,1,1",NO,auto_mean,approved,SL-008,train
Weak,PELS-L1-EDU-009,exam tips,Weak,EDU,intern,2,1,1,1,1,1,1.15,"Very short and unspecific. No exam name, subject, board, or student profile given.",Implies a concrete outcome need.,"No exam name, subject, strategy type, or audience.","1,2,1,2,1,2","1,1,1,2,1,2","2,2,1,2,2,1",NO,auto_mean,approved,SL-009,train
Weak,PELS-L1-EDU-010,make notes for me,Weak,EDU,synthetic,2,1,1,1,1,2,1.25,"Requests notes but omits the topic, format, length, and level entirely.",Task direction is clear.,"No topic, subject, grade, or note format mentioned.","3,2,1,2,1,1","2,1,1,1,1,3","3,1,2,1,2,1",NO,auto_mean,approved,SL-010,train
Weak,PELS-L1-EDU-011,chemistry doubts,Weak,EDU,synthetic,2,1,1,1,1,1,1.15,"Names a subject but provides no concept, chapter, or specific question.",Subject area identified.,"No concept, no question, no class level or board.","3,1,2,2,2,1","1,1,1,2,2,1","3,1,1,1,1,1",NO,auto_mean,approved,SL-011,train
Weak,PELS-L1-EDU-012,explain physics,Weak,EDU,intern,1,1,1,1,1,1,1.0,Physics is enormous; zero scope given. Indistinguishable from no prompt.,Domain name present.,"No topic, chapter, class, or format specified.","1,1,1,1,2,1","1,2,1,1,2,1","1,2,1,2,1,1",NO,auto_mean,approved,SL-012,train
Weak,PELS-L1-EDU-013,i dont understand trigonometry,Weak,EDU,synthetic,2,2,1,1,1,1,1.35,States confusion but doesn't pinpoint the concept or ask a specific question.,Shows a genuine learning struggle.,"No specific concept, no chapter, no format requested.","3,3,1,1,2,2","3,1,2,1,1,2","3,2,1,2,1,1",NO,auto_mean,approved,SL-013,train
Weak,PELS-L1-EDU-014,write essay,Weak,EDU,intern,2,1,1,1,1,1,1.15,"Only two words. Topic, length, audience, and purpose are all absent.",Task type mentioned.,"No topic, word count, audience, or purpose.","1,1,1,1,1,2","3,1,2,1,1,1","3,2,1,1,1,1",NO,auto_mean,approved,SL-014,train
Weak,PELS-L1-EDU-015,teach me english,Weak,EDU,synthetic,1,1,1,1,1,1,1.0,English language learning has countless dimensions; nothing is scoped here.,Subject named.,"No skill (grammar/reading/writing), level, or goal.","1,1,2,1,1,2","1,1,2,1,2,2","2,1,1,1,1,1",NO,auto_mean,approved,SL-015,train
Weak,PELS-L1-EDU-016,biology notes,Weak,EDU,synthetic,2,1,1,1,2,1,1.3,"Requests notes but gives no chapter, class, board, or preferred format.",Subject area is clear.,"No chapter, grade, board, or structure specified.","1,1,2,1,2,1","2,1,2,1,3,2","3,1,1,1,3,1",NO,auto_mean,approved,SL-016,train
Weak,PELS-L1-EDU-017,help exam,Weak,EDU,intern,1,1,1,1,1,1,1.0,"Grammatically broken and totally vague. No exam, subject, or need articulated.",Intent exists though poorly expressed.,"Grammar errors, missing all useful context.","1,1,1,1,2,1","1,1,1,1,1,1","1,1,2,1,1,2",NO,auto_mean,approved,SL-017,train
Weak,PELS-L1-EDU-018,what is derivative,Weak,EDU,synthetic,2,2,1,2,1,1,1.55,"Names a concept but could apply to finance, calculus, or other domains without clarity.",Names a concept.,"No domain specified, no grade, no example request.","3,1,1,1,1,1","2,2,1,2,1,1","2,1,1,2,1,1",NO,auto_mean,approved,SL-018,train
